"","Year","Avg_Median_HomeValue","Monthly_Mortgage_Payment"
"1",2011,367416.666666667,2542
"2",2012,362666.666666667,2348
"3",2013,415666.666666667,2729
"4",2014,465500,2993
"5",2015,497916.666666667,3109
"6",2016,528500,3224
"7",2017,536428.571428571,3351
