"","year","avg_wkly_wage","avg_annual_pay","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg","avg_monthly_wage"
"1",2012,1067,55506,20,1.9,4268
"2",2013,1057,54960,-10,-0.9,4228
"3",2014,1090,56657,33,3.1,4360
"4",2015,1130,58742,40,3.7,4520
"5",2016,1138,54624,20,1.8,4552
